,coal,natural gas,crude oil,NGPL,nuclear,renewables
1950,14.06,6.233,11.447,0.813,0,1.907
1951,14.419,7.416,13.037,0.91,0,1.891
1952,12.734,7.964,13.281,0.986,0,1.849
1953,12.278,8.339,13.671,1.051,0,1.793
1954,10.542,8.682,13.427,1.101,0,1.775
1955,12.37,9.345,14.41,1.223,0,1.821
1956,13.306,10.002,15.18,1.264,0,1.843
1957,13.061,10.605,15.178,1.274,0,1.789
1958,10.783,10.942,14.204,1.276,0.002,1.813
1959,10.778,11.952,14.933,1.37,0.002,1.834
1960,10.817,12.656,14.935,1.447,0.006,1.83
1961,10.447,13.105,15.206,1.531,0.02,1.826
1962,10.901,13.717,15.522,1.571,0.026,1.888
1963,11.849,14.513,15.966,1.687,0.038,1.9
1964,12.524,15.298,16.164,1.777,0.04,1.953
1965,13.055,15.775,16.521,1.853,0.043,2.008
1966,13.468,17.011,17.561,1.971,0.064,2.045
1967,13.825,17.943,18.651,2.148,0.088,2.109
1968,13.609,19.068,19.308,2.289,0.142,2.192
1969,13.863,20.446,19.556,2.386,0.154,2.307
1970,14.607,21.666,20.401,2.478,0.239,2.289
1971,13.186,22.28,20.033,2.513,0.413,2.354
1972,14.092,22.208,20.041,2.564,0.584,2.449
1973,13.992,22.187,19.493,2.535,0.91,2.476
1974,14.074,21.21,18.575,2.435,1.272,2.586
1975,14.989,19.64,17.729,2.338,1.9,2.544
1976,15.654,19.48,17.262,2.288,2.111,2.705
1977,15.755,19.565,17.454,2.286,2.702,2.613
1978,14.91,19.485,18.434,2.202,3.024,3.015
1979,17.54,20.076,18.104,2.232,2.776,3.131
1980,18.598,19.908,18.249,2.225,2.739,3.445
1981,18.377,19.699,18.146,2.266,3.008,3.516
1982,18.639,18.319,18.309,2.149,3.131,3.746
1983,17.247,16.593,18.392,2.136,3.203,4.069
1984,19.719,18.008,18.848,2.234,3.553,4.104
1985,19.325,16.98,18.992,2.204,4.076,4.018
1986,19.509,16.541,18.376,2.113,4.38,3.97
1987,20.141,17.136,17.675,2.179,4.754,3.774
1988,20.738,17.599,17.279,2.231,5.587,3.823
1989,21.36,17.847,16.117,2.123,5.602,4.206
1990,22.488,18.326,15.571,2.138,6.104,3.863
1991,21.636,18.229,15.701,2.265,6.422,3.901
1992,21.694,18.375,15.223,2.323,6.479,3.932
1993,20.336,18.584,14.494,2.366,6.41,4.007
1994,22.202,19.348,14.103,2.349,6.694,4.056
1995,22.13,19.082,13.887,2.398,7.075,4.295
1996,22.79,19.344,13.723,2.48,7.087,4.48
1997,23.31,19.394,13.658,2.445,6.597,4.466
1998,24.045,19.613,13.235,2.372,7.068,4.174
1999,23.295,19.341,12.451,2.473,7.61,4.203
2000,22.735,19.662,12.358,2.551,7.862,4.093
2001,23.547,20.166,12.282,2.491,8.029,3.514
2002,22.732,19.382,12.16,2.502,8.145,3.771
2003,22.094,19.633,11.96,2.296,7.96,3.914
2004,22.852,19.074,11.55,2.408,8.223,4.093
2005,23.185,18.556,10.974,2.28,8.161,4.22
2006,23.79,19.022,10.767,2.299,8.215,4.43
2007,23.493,19.786,10.741,2.349,8.459,4.582
2008,23.851,20.703,10.613,2.359,8.426,5.085
2009,21.624,21.139,11.34,2.508,8.355,5.309
2010,22.038,21.806,11.61,2.705,8.434,5.943
2011,22.221,23.406,12.012,2.89,8.269,6.404
2012,20.677,24.61,13.849,3.162,8.062,6.187
2013,20.001,24.859,15.868,3.451,8.244,6.561
2014,20.286,26.718,18.61,4.005,8.338,6.836
2015,17.946,28.067,19.697,4.476,8.337,6.846
2016,14.667,27.576,18.527,4.665,8.427,7.188
2017,15.625,28.289,19.547,4.987,8.419,7.505
2018,15.363,31.882,22.808,5.727,8.438,7.744
2019,14.256,35.187,25.604,6.352,8.452,7.753
2020,10.703,35.062,23.575,6.805,8.251,7.465
2021,11.596,35.807,23.401,7.099,8.131,7.807
2022,12.043,37.662,24.71,7.742,8.061,8.307
2023,11.809,39.251,26.849,8.389,8.101,8.426